1,2,3,4
446.47,446.47,512.04,455.73
438.12,438.12,490.85,447.63
412.41,412.41,498.11,390.66
415.91,415.91,530.86,458.15
427.29,427.29,499.79,404.93
423.70,423.70,506.52,455.53
416.94,416.94,525.95,440.83
427.60,427.60,475.78,429.14
421.38,421.38,517.67,422.58
433.06,433.06,493.17,427.34
418.05,418.05,528.99,426.60
420.55,420.55,496.04,457.80
417.54,417.54,514.46,427.85
440.88,440.88,529.34,431.85
423.45,423.45,484.37,466.15
429.79,429.79,517.84,423.74
433.69,433.69,556.75,474.30
425.77,425.77,536.91,461.49
422.60,422.60,524.11,455.10
414.51,414.51,535.46,430.03
